cds	rtype	sname	dname	cname	Enroll1012	Enroll12	NumTstTakr	NumScr1	NumScr2	NumScr3	NumScr4	NumScr5	year
01612340000000	D	                                                  	Newark Unified                                    	Alameda        	1461	512	299	136	201	170	91	54	1415
01612340130054	S	Newark Memorial High                              	Newark Unified                                    	Alameda        	1348	444	299	136	201	170	91	54	1415
01612340130484	S	Crossroads High (Alternative)                     	Newark Unified                                    	Alameda        	32	15	0	NA	NA	NA	NA	NA	1415
01612420000000	D	                                                  	New Haven Unified                                 	Alameda        	3146	1130	736	290	426	379	247	149	1415
01612420110460	S	Core Learning Academy at Conley-Caraballo High    	New Haven Unified                                 	Alameda        	150	125	1	*	*	*	*	*	1415
01612420126763	S	Decoto School for Independent Study               	New Haven Unified                                 	Alameda        	114	62	0	NA	NA	NA	NA	NA	1415
01612420134668	S	James Logan High                                  	New Haven Unified                                 	Alameda        	2870	937	735	290	426	379	246	149	1415
01612590000000	D	                                                  	Oakland Unified                                   	Alameda        	9073	2971	1954	1163	576	507	444	329	1415
01612590100065	S	Oakland Unity High                                	Oakland Unified                                   	Alameda        	217	55	54	16	3	11	18	10	1415
01612590100701	S	MetWest High                                      	Oakland Unified                                   	Alameda        	119	38	0	NA	NA	NA	NA	NA	1415
01612590106906	S	Bay Area Technology                               	Oakland Unified                                   	Alameda        	72	25	32	35	7	2	0	0	1415
01612590108944	S	Lighthouse Community Charter High                 	Oakland Unified                                   	Alameda        	184	53	22	0	1	2	11	8	1415
01612590110189	S	McClymonds High                                   	Oakland Unified                                   	Alameda        	212	54	31	32	5	0	1	0	1415
01612590111856	S	American Indian Public High                       	Oakland Unified                                   	Alameda        	105	27	184	140	61	33	9	4	1415
01612590112797	S	Coliseum College Prep Academy                     	Oakland Unified                                   	Alameda        	174	51	97	67	21	6	6	10	1415
01612590114868	S	Oakland Charter High                              	Oakland Unified                                   	Alameda        	206	55	106	59	46	53	38	22	1415
01612590115238	S	ARISE High                                        	Oakland Unified                                   	Alameda        	175	36	4	*	*	*	*	*	1415
01612590115386	S	Civicorps Corpsmember Academy                     	Oakland Unified                                   	Alameda        	80	80	0	NA	NA	NA	NA	NA	1415
01612590115667	S	Oakland International High                        	Oakland Unified                                   	Alameda        	297	90	4	*	*	*	*	*	1415
01612590118224	S	Aspire Golden State College Preparatory Academy   	Oakland Unified                                   	Alameda        	197	59	30	29	1	4	1	0	1415
01612590119859	S	Gateway to College at Laney College               	Oakland Unified                                   	Alameda        	66	57	0	NA	NA	NA	NA	NA	1415
01612590125161	S	Castlemont High                                   	Oakland Unified                                   	Alameda        	397	125	74	113	21	4	0	0	1415
01612590125716	S	Fremont High                                      	Oakland Unified                                   	Alameda        	560	147	99	70	21	17	31	12	1415
01612590126748	S	LPS Oakland R & D Campus                          	Oakland Unified                                   	Alameda        	219	58	0	NA	NA	NA	NA	NA	1415
01612590130179	S	Street Academy (Alternative)                      	Oakland Unified                                   	Alameda        	86	26	1	*	*	*	*	*	1415
01612590130575	S	LIFE Academy                                      	Oakland Unified                                   	Alameda        	208	69	26	17	0	3	9	2	1415
01612590130617	S	"Oakland Military Institute, College Preparatory Ac"	Oakland Unified                                   	Alameda        	233	74	74	48	26	19	12	3	1415
01612590130666	S	Aspire Lionel Wilson College Preparatory Academy  	Oakland Unified                                   	Alameda        	237	59	90	0	8	24	41	17	1415
01612590135905	S	Oakland High                                      	Oakland Unified                                   	Alameda        	1098	334	225	258	70	27	9	5	1415
01612590136051	S	Oakland Technical High                            	Oakland Unified                                   	Alameda        	1512	450	399	80	107	159	186	177	1415
01612590137943	S	Skyline High                                      	Oakland Unified                                   	Alameda        	1308	390	300	170	152	104	39	25	1415
01612593030772	S	Oakland School for the Arts                       	Oakland Unified                                   	Alameda        	303	99	81	6	24	37	32	28	1415
01612596066450	S	Madison Park Academy 6-12                         	Oakland Unified                                   	Alameda        	73	0	21	19	2	0	0	0	1415
01612596114011	S	"Independent Study, Sojourner Truth                "	Oakland Unified                                   	Alameda        	151	59	0	NA	NA	NA	NA	NA	1415
01612750000000	D	                                                  	Piedmont City Unified                             	Alameda        	660	229	233	18	28	136	132	122	1415
01612750136515	S	Piedmont High                                     	Piedmont City Unified                             	Alameda        	590	198	233	18	28	136	132	122	1415
01612910000000	D	                                                  	San Leandro Unified                               	Alameda        	2030	752	398	206	166	160	106	45	1415
01612910137588	S	San Leandro High                                  	San Leandro Unified                               	Alameda        	1888	646	398	206	166	160	106	45	1415
01613090000000	D	                                                  	San Lorenzo Unified                               	Alameda        	3051	1068	827	384	380	281	200	107	1415
01613090111799	S	East Bay Arts High                                	San Lorenzo Unified                               	Alameda        	156	65	9	*	*	*	*	*	1415
01613090114421	S	KIPP King Collegiate High                         	San Lorenzo Unified                               	Alameda        	383	122	242	114	111	67	64	33	1415
01613090130849	S	Arroyo High                                       	San Lorenzo Unified                               	Alameda        	1311	415	377	154	183	151	103	47	1415
01613090137810	S	San Lorenzo High                                  	San Lorenzo Unified                               	Alameda        	1038	357	199	110	84	63	32	27	1415
01750930000000	D	                                                  	Dublin Unified                                    	Alameda        	1531	498	450	27	97	270	275	234	1415
01750930132704	S	Dublin High                                       	Dublin Unified                                    	Alameda        	1461	456	450	27	97	270	275	234	1415
01751010000000	D	                                                  	Pleasanton Unified                                	Alameda        	3669	1270	1586	80	267	761	1136	1371	1415
01751010130096	S	Foothill High                                     	Pleasanton Unified                                	Alameda        	1575	522	678	53	147	402	436	414	1415
01751010130583	S	Amador Valley High                                	Pleasanton Unified                                	Alameda        	1934	650	908	27	120	359	700	957	1415
01766530000000	D	                                                  	SBE - Livermore Valley Charter Preparatory High   	Alameda        	340	107	103	43	27	31	23	20	1415
